ISO 8601 UTC,pdate,rain, Approval Level, Grade, Qualifiers
2019-04-01T00:00:00Z,3/31/2019 19:00,0,Working,50,
2019-04-01T01:00:00Z,3/31/2019 20:00,0,Working,50,
2019-04-01T02:00:00Z,3/31/2019 21:00,0,Working,50,
2019-04-01T03:00:00Z,3/31/2019 22:00,0,Working,50,
2019-04-01T04:00:00Z,3/31/2019 23:00,0,Working,50,
2019-04-01T05:00:00Z,4/1/2019 0:00,0,Working,50,
2019-04-01T06:00:00Z,4/1/2019 1:00,0,Working,50,
2019-04-01T07:00:00Z,4/1/2019 2:00,0,Working,50,
2019-04-01T08:00:00Z,4/1/2019 3:00,0,Working,50,
2019-04-01T09:00:00Z,4/1/2019 4:00,0,Working,50,
2019-04-01T10:00:00Z,4/1/2019 5:00,0,Working,50,
2019-04-01T11:00:00Z,4/1/2019 6:00,0,Working,50,
2019-04-01T12:00:00Z,4/1/2019 7:00,0,Working,50,
2019-04-01T13:00:00Z,4/1/2019 8:00,0,Working,50,
2019-04-01T14:00:00Z,4/1/2019 9:00,0,Working,50,
2019-04-01T15:00:00Z,4/1/2019 10:00,0,Working,50,
2019-04-01T16:00:00Z,4/1/2019 11:00,0,Working,50,
2019-04-01T17:00:00Z,4/1/2019 12:00,0,Working,50,
2019-04-01T18:00:00Z,4/1/2019 13:00,0,Working,50,
2019-04-01T19:00:00Z,4/1/2019 14:00,0,Working,50,
2019-04-01T20:00:00Z,4/1/2019 15:00,0,Working,50,
2019-04-01T21:00:00Z,4/1/2019 16:00,0,Working,50,
2019-04-01T22:00:00Z,4/1/2019 17:00,0,Working,50,
2019-04-01T23:00:00Z,4/1/2019 18:00,0,Working,50,
2019-04-02T00:00:00Z,4/1/2019 19:00,0,Working,50,
2019-04-02T01:00:00Z,4/1/2019 20:00,0,Working,50,
2019-04-02T02:00:00Z,4/1/2019 21:00,0,Working,50,
2019-04-02T03:00:00Z,4/1/2019 22:00,0,Working,50,
2019-04-02T04:00:00Z,4/1/2019 23:00,0,Working,50,
2019-04-02T05:00:00Z,4/2/2019 0:00,0,Working,50,
2019-04-02T06:00:00Z,4/2/2019 1:00,0,Working,50,
2019-04-02T07:00:00Z,4/2/2019 2:00,0,Working,50,
2019-04-02T08:00:00Z,4/2/2019 3:00,0,Working,50,
2019-04-02T09:00:00Z,4/2/2019 4:00,0,Working,50,
2019-04-02T10:00:00Z,4/2/2019 5:00,0,Working,50,
2019-04-02T11:00:00Z,4/2/2019 6:00,0,Working,50,
2019-04-02T12:00:00Z,4/2/2019 7:00,0,Working,50,
2019-04-02T13:00:00Z,4/2/2019 8:00,0,Working,50,
2019-04-02T14:00:00Z,4/2/2019 9:00,0,Working,50,
2019-04-02T15:00:00Z,4/2/2019 10:00,0,Working,50,
2019-04-02T16:00:00Z,4/2/2019 11:00,0,Working,50,
2019-04-02T17:00:00Z,4/2/2019 12:00,0,Working,50,
2019-04-02T18:00:00Z,4/2/2019 13:00,0,Working,50,
2019-04-02T19:00:00Z,4/2/2019 14:00,0,Working,50,
2019-04-02T20:00:00Z,4/2/2019 15:00,0,Working,50,
2019-04-02T21:00:00Z,4/2/2019 16:00,0,Working,50,
2019-04-02T22:00:00Z,4/2/2019 17:00,0,Working,50,
2019-04-02T23:00:00Z,4/2/2019 18:00,0,Working,50,
2019-04-03T00:00:00Z,4/2/2019 19:00,0,Working,50,
2019-04-03T01:00:00Z,4/2/2019 20:00,0,Working,50,
2019-04-03T02:00:00Z,4/2/2019 21:00,0,Working,50,
2019-04-03T03:00:00Z,4/2/2019 22:00,0,Working,50,
2019-04-03T04:00:00Z,4/2/2019 23:00,0,Working,50,
2019-04-03T05:00:00Z,4/3/2019 0:00,0,Working,50,
2019-04-03T06:00:00Z,4/3/2019 1:00,0,Working,50,
2019-04-03T07:00:00Z,4/3/2019 2:00,0,Working,50,
2019-04-03T08:00:00Z,4/3/2019 3:00,0,Working,50,
2019-04-03T09:00:00Z,4/3/2019 4:00,0,Working,50,
2019-04-03T10:00:00Z,4/3/2019 5:00,0,Working,50,
2019-04-03T11:00:00Z,4/3/2019 6:00,0,Working,50,
2019-04-03T12:00:00Z,4/3/2019 7:00,0,Working,50,
2019-04-03T13:00:00Z,4/3/2019 8:00,0,Working,50,
2019-04-03T14:00:00Z,4/3/2019 9:00,0,Working,50,
2019-04-03T15:00:00Z,4/3/2019 10:00,0,Working,50,
2019-04-03T16:00:00Z,4/3/2019 11:00,0,Working,50,
2019-04-03T17:00:00Z,4/3/2019 12:00,0,Working,50,
2019-04-03T18:00:00Z,4/3/2019 13:00,0,Working,50,
2019-04-03T19:00:00Z,4/3/2019 14:00,0,Working,50,
2019-04-03T20:00:00Z,4/3/2019 15:00,0,Working,50,
2019-04-03T21:00:00Z,4/3/2019 16:00,0,Working,50,
2019-04-03T22:00:00Z,4/3/2019 17:00,0,Working,50,
2019-04-03T23:00:00Z,4/3/2019 18:00,0,Working,50,
2019-04-04T00:00:00Z,4/3/2019 19:00,0,Working,50,
2019-04-04T01:00:00Z,4/3/2019 20:00,0,Working,50,
2019-04-04T02:00:00Z,4/3/2019 21:00,0,Working,50,
2019-04-04T03:00:00Z,4/3/2019 22:00,0,Working,50,
2019-04-04T04:00:00Z,4/3/2019 23:00,0,Working,50,
2019-04-04T05:00:00Z,4/4/2019 0:00,0,Working,50,
2019-04-04T06:00:00Z,4/4/2019 1:00,0,Working,50,
2019-04-04T07:00:00Z,4/4/2019 2:00,0,Working,50,
2019-04-04T08:00:00Z,4/4/2019 3:00,0,Working,50,
2019-04-04T09:00:00Z,4/4/2019 4:00,0,Working,50,
2019-04-04T10:00:00Z,4/4/2019 5:00,0,Working,50,
2019-04-04T11:00:00Z,4/4/2019 6:00,0,Working,50,
2019-04-04T12:00:00Z,4/4/2019 7:00,0,Working,50,
2019-04-04T13:00:00Z,4/4/2019 8:00,0,Working,50,
2019-04-04T14:00:00Z,4/4/2019 9:00,0,Working,50,
2019-04-04T15:00:00Z,4/4/2019 10:00,0,Working,50,
2019-04-04T16:00:00Z,4/4/2019 11:00,0,Working,50,
2019-04-04T17:00:00Z,4/4/2019 12:00,0,Working,50,
2019-04-04T18:00:00Z,4/4/2019 13:00,0,Working,50,
2019-04-04T19:00:00Z,4/4/2019 14:00,0,Working,50,
2019-04-04T20:00:00Z,4/4/2019 15:00,0,Working,50,
2019-04-04T21:00:00Z,4/4/2019 16:00,0,Working,50,
