NAME,YEAR,MONTH,DAY,MINUTE,VALUE
BE1,2011,12,7,790,0
BE1,2011,12,7,792,0.01
BE1,2011,12,7,830,0.01
BE1,2011,12,7,835,0
BE1,2011,12,11,696,0.01
BE1,2011,12,11,760,0.01
BE1,2011,12,11,795,0.01
BE1,2011,12,11,819,0.01
BE1,2011,12,11,852,0.01
BE1,2011,12,11,860,0
BE1,2011,12,13,1309,0.01
BE1,2011,12,13,1358,0.01
BE1,2011,12,13,1396,0.01
BE1,2011,12,13,1419,0.01
BE1,2011,12,13,1430,0
BE1,2011,12,14,13,0.01
BE1,2011,12,14,288,0.01
BE1,2011,12,14,311,0.01
BE1,2011,12,14,348,0.01
BE1,2011,12,14,358,0.01
BE1,2011,12,14,367,0.01
BE1,2011,12,14,378,0.01
BE1,2011,12,14,389,0.01
BE1,2011,12,14,397,0.01
BE1,2011,12,14,406,0.01
BE1,2011,12,14,424,0.01
BE1,2011,12,14,433,0.01
BE1,2011,12,14,459,0.01
BE1,2011,12,14,490,0.01
BE1,2011,12,14,497,0.01
BE1,2011,12,14,516,0.01
BE1,2011,12,14,567,0.01
BE1,2011,12,14,602,0.01
BE1,2011,12,14,607,0.01
BE1,2011,12,14,619,0.01
BE1,2011,12,14,624,0.01
BE1,2011,12,14,634,0.01
BE1,2011,12,14,649,0.01
BE1,2011,12,14,654,0.01
BE1,2011,12,14,659,0.01
BE1,2011,12,14,662,0.01
BE1,2011,12,14,665,0.01
BE1,2011,12,14,670,0.01
BE1,2011,12,14,675,0.01
BE1,2011,12,14,683,0.01
BE1,2011,12,14,703,0.01
BE1,2011,12,14,715,0.01
BE1,2011,12,14,727,0.01
BE1,2011,12,14,730,0.01
BE1,2011,12,14,734,0.01
BE1,2011,12,14,737,0.01
BE1,2011,12,14,741,0.01
BE1,2011,12,14,758,0.01
BE1,2011,12,14,773,0.01
BE1,2011,12,14,783,0.01
BE1,2011,12,14,788,0.01
BE1,2011,12,14,796,0.01
BE1,2011,12,14,798,0.01
BE1,2011,12,14,802,0.01
BE1,2011,12,14,812,0.01
BE1,2011,12,14,830,0.01
BE1,2011,12,14,841,0.01
BE1,2011,12,14,849,0.01
BE1,2011,12,14,851,0.01
BE1,2011,12,14,856,0.01
BE1,2011,12,14,859,0.01
BE1,2011,12,14,862,0.01
BE1,2011,12,14,865,0.01
BE1,2011,12,14,868,0.01
BE1,2011,12,14,872,0.01
BE1,2011,12,14,880,0.01
BE1,2011,12,14,889,0.01
BE1,2011,12,14,906,0.01
BE1,2011,12,14,912,0.01
BE1,2011,12,14,916,0.01
BE1,2011,12,14,919,0.01
BE1,2011,12,14,922,0.01
BE1,2011,12,14,928,0.01
BE1,2011,12,14,958,0.01
BE1,2011,12,14,966,0.01
BE1,2011,12,14,971,0.01
BE1,2011,12,14,977,0.01
BE1,2011,12,14,985,0.01
BE1,2011,12,14,991,0.01
BE1,2011,12,14,995,0.01
BE1,2011,12,14,999,0.01
BE1,2011,12,14,1005,0.01
BE1,2011,12,14,1010,0.01
BE1,2011,12,14,1018,0.01
BE1,2011,12,14,1044,0.01
BE1,2011,12,14,1119,0.01
BE1,2011,12,14,1130,0.01
BE1,2011,12,14,1139,0.01
BE1,2011,12,14,1146,0.01
BE1,2011,12,14,1154,0.01
BE1,2011,12,14,1353,0.01
BE1,2011,12,14,1360,0
BE1,2011,12,17,678,0.01
BE1,2011,12,17,702,0.01
BE1,2011,12,17,712,0.01
BE1,2011,12,17,726,0.01
BE1,2011,12,17,745,0.01
BE1,2011,12,18,600,0.01
BE1,2011,12,30,748,0.01
BE1,2011,12,30,753,0.01
BE1,2011,12,30,821,0.01
BE1,2011,12,30,831,0.01
BE1,2011,12,30,838,0.01
BE1,2011,12,30,845,0.01
BE1,2011,12,30,853,0.01
BE1,2011,12,30,864,0.01
BE1,2011,12,30,876,0.01
BE1,2011,12,30,892,0.01
BE1,2011,12,30,910,0.01
BE1,2011,12,30,1002,0.01
BE1,2011,12,31,332,0.01
BE1,2011,12,31,413,0.01
BE1,2011,12,31,580,0.01
BE1,2011,12,31,609,0.01
BE1,2011,12,31,639,0.01
BE1,2011,12,31,662,0.01
BE1,2011,12,31,665,0.01
BE1,2011,12,31,671,0.01
BE1,2011,12,31,688,0.01
BE1,2011,12,31,706,0.01
BE1,2011,12,31,714,0.01
BE1,2011,12,31,726,0.01
BE1,2011,12,31,735,0.01
BE1,2011,12,31,744,0.01
BE1,2011,12,31,759,0.01
BE1,2011,12,31,1209,0.01
BE1,2011,12,31,1227,0.01
BE1,2011,12,31,1371,0.01
BE1,2011,12,31,1396,0.01
BE1,2012,1,1,12,0.01
BE1,2012,1,1,35,0.01
BE1,2012,1,4,715,0.01
BE1,2012,1,4,771,0.01
BE1,2012,1,4,820,0.01
BE1,2012,1,4,871,0.01
BE1,2012,1,4,940,0.01
BE1,2012,1,15,658,0.01
BE1,2012,1,25,664,0.01
BE1,2012,1,25,756,0.01
BE1,2012,1,25,759,0.01
BE1,2012,1,25,763,0.01
BE1,2012,1,25,768,0.01
BE1,2012,1,25,773,0.01
BE1,2012,1,25,779,0.01
BE1,2012,1,25,784,0.01
BE1,2012,1,25,789,0.01
BE1,2012,1,25,793,0.01
BE1,2012,1,25,797,0.01
BE1,2012,1,25,800,0.01
BE1,2012,1,25,803,0.01
BE1,2012,1,25,806,0.01
BE1,2012,1,25,810,0.01
BE1,2012,1,25,814,0.01
BE1,2012,1,25,819,0.01
BE1,2012,1,25,825,0.01
BE1,2012,1,25,842,0.01
BE1,2012,1,25,851,0.01
BE1,2012,1,25,857,0.01
BE1,2012,1,25,865,0.01
BE1,2012,1,25,894,0.01
BE1,2012,1,25,905,0.01
BE1,2012,1,25,915,0.01
BE1,2012,1,25,931,0.01
BE1,2012,1,25,956,0.01
BE1,2012,1,26,601,0.01
BE1,2012,1,26,679,0.01
BE1,2012,1,26,700,0.01
BE1,2012,1,26,723,0.01
BE1,2012,1,26,734,0.01
BE1,2012,1,26,753,0.01
BE1,2012,1,26,769,0.01
BE1,2012,1,26,783,0.01
BE1,2012,1,26,802,0.01
BE1,2012,1,26,821,0.01
BE1,2012,1,26,857,0.01
BE1,2012,1,26,913,0.01
BE1,2012,1,27,719,0.01
BE1,2012,1,27,725,0.01
BE1,2012,1,27,809,0.01
BE1,2012,2,3,805,0.01
BE1,2012,2,13,745,0.01
BE1,2012,2,13,750,0.01
BE1,2012,2,13,759,0.01
BE1,2012,2,13,770,0.01
BE1,2012,2,13,805,0.01
BE1,2012,2,13,947,0.01
BE1,2012,2,14,660,0.01
BE1,2012,2,14,667,0.01
BE1,2012,2,14,678,0.01
BE1,2012,2,14,695,0.01
BE1,2012,2,14,706,0.01
BE1,2012,2,14,719,0.01
BE1,2012,2,14,725,0.01
BE1,2012,2,14,735,0.01
BE1,2012,2,14,751,0.01
BE1,2012,2,20,1024,0.01
BE1,2012,2,20,1041,0.01
BE1,2012,2,20,1050,0.01
BE1,2012,2,20,1429,0.01
BE1,2012,2,21,117,0.01
BE1,2012,2,21,118,0.01
BE1,2012,2,21,147,0.01
BE1,2012,2,21,170,0.01
BE1,2012,2,21,191,0.01
BE1,2012,2,21,218,0.01
BE1,2012,2,21,234,0.01
BE1,2012,2,21,247,0.01
BE1,2012,2,21,260,0.01
BE1,2012,2,21,287,0.01
BE1,2012,2,21,336,0.01
BE1,2012,2,21,400,0.01
BE1,2012,2,21,556,0.01
BE1,2012,2,21,581,0.01
BE1,2012,2,21,596,0.01
BE1,2012,2,21,608,0.01
BE1,2012,2,21,618,0.01
BE1,2012,2,21,639,0.01
BE1,2012,2,21,664,0.01
BE1,2012,2,21,685,0.01
BE1,2012,2,21,704,0.01
BE1,2012,2,28,657,0.01
BE1,2012,2,28,666,0.01
BE1,2012,2,28,684,0.01
BE1,2012,2,28,693,0.01
BE1,2012,2,28,701,0.01
BE1,2012,2,28,707,0.01
BE1,2012,2,28,713,0.01
BE1,2012,2,28,718,0.01
BE1,2012,2,28,727,0.01
BE1,2012,2,28,734,0.01
BE1,2012,2,28,744,0.01
BE1,2012,2,28,749,0.01
BE1,2012,2,28,754,0.01
BE1,2012,2,28,764,0.01
BE1,2012,2,28,773,0.01
BE1,2012,2,28,780,0.01
BE1,2012,2,28,789,0.01
BE1,2012,2,28,794,0.01
BE1,2012,2,28,798,0.01
BE1,2012,2,28,801,0.01
BE1,2012,2,28,805,0.01
BE1,2012,2,28,808,0.01
BE1,2012,2,28,812,0.01
BE1,2012,2,28,816,0.01
BE1,2012,2,28,821,0.01
BE1,2012,2,28,826,0.01
BE1,2012,2,28,832,0.01
BE1,2012,2,28,851,0.01
BE1,2012,2,28,861,0.01
BE1,2012,2,28,874,0.01
BE1,2012,2,28,882,0.01
BE1,2012,2,28,910,0.01
BE1,2012,2,28,918,0.01
BE1,2012,2,28,923,0.01
BE1,2012,2,28,928,0.01
BE1,2012,2,28,939,0.01
BE1,2012,2,28,947,0.01
BE1,2012,2,28,959,0.01
BE1,2012,2,28,976,0.01
BE1,2012,2,28,980,0.01
BE1,2012,2,28,984,0.01
BE1,2012,2,28,987,0.01
BE1,2012,2,28,990,0.01
BE1,2012,2,28,993,0.01
BE1,2012,2,28,998,0.01
BE1,2012,2,28,1001,0.01
BE1,2012,2,28,1006,0.01
BE1,2012,2,28,1008,0.01
BE1,2012,2,28,1011,0.01
BE1,2012,2,28,1012,0.01
BE1,2012,2,28,1016,0.01
BE1,2012,2,28,1028,0.01
BE1,2012,2,28,1034,0.01
BE1,2012,2,28,1037,0.01
BE1,2012,2,28,1041,0.01
BE1,2012,2,28,1045,0.01
BE1,2012,2,28,1050,0.01
BE1,2012,2,28,1053,0.01
BE1,2012,2,28,1055,0.01
BE1,2012,2,28,1058,0.01
BE1,2012,2,28,1060,0.01
BE1,2012,2,28,1064,0.01
BE1,2012,2,28,1070,0.01
BE1,2012,2,28,1073,0.01
BE1,2012,2,28,1074,0.01
BE1,2012,2,28,1076,0.01
BE1,2012,2,28,1078,0.01
BE1,2012,2,28,1081,0.01
BE1,2012,2,28,1083,0.01
BE1,2012,2,28,1085,0.01
BE1,2012,2,28,1087,0.01
BE1,2012,2,28,1089,0.01
BE1,2012,2,28,1091,0.01
BE1,2012,2,28,1092,0.01
BE1,2012,2,28,1094,0.01
BE1,2012,2,28,1096,0.01
BE1,2012,2,28,1098,0.01
BE1,2012,2,28,1099,0.01
BE1,2012,2,28,1102,0.01
BE1,2012,2,28,1105,0.01
BE1,2012,2,28,1108,0.01
BE1,2012,2,28,1109,0.01
BE1,2012,2,28,1112,0.01
BE1,2012,2,28,1116,0.01
BE1,2012,2,28,1120,0.01
BE1,2012,2,28,1122,0.01
BE1,2012,2,28,1125,0.01
BE1,2012,2,28,1127,0.01
BE1,2012,2,28,1129,0.01
BE1,2012,2,28,1131,0.01
BE1,2012,2,28,1134,0.01
BE1,2012,2,28,1136,0.01
BE1,2012,2,28,1140,0.01
BE1,2012,2,28,1143,0.01
BE1,2012,2,28,1145,0.01
BE1,2012,2,28,1148,0.01
BE1,2012,2,28,1150,0.01
BE1,2012,2,28,1152,0.01
BE1,2012,2,28,1154,0.01
BE1,2012,2,28,1156,0.01
BE1,2012,2,28,1158,0.01
BE1,2012,2,28,1162,0.01
BE1,2012,2,28,1167,0.01
BE1,2012,2,28,1171,0.01
BE1,2012,2,28,1174,0.01
BE1,2012,2,28,1178,0.01
BE1,2012,2,28,1181,0.01
BE1,2012,2,28,1185,0.01
BE1,2012,2,28,1188,0.01
BE1,2012,2,28,1193,0.01
BE1,2012,2,28,1199,0.01
BE1,2012,2,28,1202,0.01
BE1,2012,2,28,1205,0.01
BE1,2012,2,28,1211,0.01
BE1,2012,2,28,1220,0.01
BE1,2012,2,28,1229,0.01
BE1,2012,2,28,1232,0.01
BE1,2012,2,28,1233,0.01
BE1,2012,2,28,1236,0.01
BE1,2012,2,28,1239,0.01
BE1,2012,2,28,1241,0.01
BE1,2012,2,28,1243,0.01
BE1,2012,2,28,1245,0.01
BE1,2012,2,28,1248,0.01
BE1,2012,2,28,1251,0.01
BE1,2012,2,28,1254,0.01
BE1,2012,2,28,1255,0.01
BE1,2012,2,28,1258,0.01
BE1,2012,2,28,1262,0.01
BE1,2012,2,28,1266,0.01
BE1,2012,2,28,1269,0.01
BE1,2012,2,28,1274,0.01
BE1,2012,2,28,1279,0.01
BE1,2012,2,28,1282,0.01
BE1,2012,2,28,1287,0.01
BE1,2012,2,28,1305,0.01
BE1,2012,2,28,1313,0.01
BE1,2012,2,28,1317,0.01
BE1,2012,2,28,1347,0.01
BE1,2012,2,28,1430,0.01
BE1,2012,2,28,1433,0.01
BE1,2012,2,28,1434,0.02
BE1,2012,2,28,1435,0.02
BE1,2012,2,28,1436,0.03
BE1,2012,2,28,1437,0.03
BE1,2012,2,28,1438,0.01
BE1,2012,2,29,0,0.01
BE1,2012,2,29,11,0.01
BE1,2012,2,29,12,0.01
BE1,2012,2,29,16,0.01
BE1,2012,2,29,70,0.01
BE1,2012,2,29,75,0.01
BE1,2012,2,29,88,0.01
BE1,2012,2,29,107,0.01
BE1,2012,2,29,114,0.01
BE1,2012,2,29,118,0.01
BE1,2012,2,29,121,0.01
BE1,2012,2,29,125,0.01
BE1,2012,2,29,128,0.01
BE1,2012,2,29,132,0.01
BE1,2012,2,29,136,0.01
BE1,2012,2,29,139,0.01
BE1,2012,2,29,142,0.01
BE1,2012,2,29,144,0.01
BE1,2012,2,29,146,0.01
BE1,2012,2,29,149,0.01
BE1,2012,2,29,152,0.01
BE1,2012,2,29,154,0.01
BE1,2012,2,29,158,0.01
BE1,2012,2,29,162,0.01
BE1,2012,2,29,166,0.01
BE1,2012,2,29,170,0.01
BE1,2012,2,29,174,0.01
BE1,2012,2,29,176,0.01
BE1,2012,2,29,179,0.01
BE1,2012,2,29,186,0.01
BE1,2012,2,29,197,0.01
BE1,2012,2,29,206,0.01
BE1,2012,2,29,214,0.01
BE1,2012,2,29,217,0.01
BE1,2012,2,29,221,0.01
BE1,2012,2,29,234,0.01
BE1,2012,2,29,239,0.01
BE1,2012,2,29,243,0.01
BE1,2012,2,29,246,0.01
